time,gFx,gFy,gFz,TgF
0.003133959,-0.1573,0.3901,0.8150,0.917
0.003608646,-0.1568,0.3928,0.8059,0.910
0.003781459,-0.1571,0.3958,0.7988,0.905
0.005936615,-0.1583,0.3984,0.7932,0.902
0.007683959,-0.1605,0.4004,0.7888,0.899
0.010261198,-0.1629,0.4019,0.7864,0.898
0.012734271,-0.1659,0.4019,0.7862,0.898
0.015146198,-0.1693,0.4006,0.7869,0.899
0.017382396,-0.1732,0.3975,0.7886,0.900
0.02017073,-0.1771,0.3933,0.7910,0.901
0.022457709,-0.1815,0.3887,0.7940,0.902
0.025094896,-0.1861,0.3833,0.7974,0.904
0.027449323,-0.1925,0.3792,0.8003,0.906
0.030118855,-0.2006,0.3765,0.8025,0.909
0.032434115,-0.2094,0.3748,0.8040,0.911
0.034889167,-0.2194,0.3743,0.8037,0.913
0.037694844,-0.2299,0.3750,0.8030,0.916
0.039998177,-0.2401,0.3772,0.8023,0.918
0.042353854,-0.2499,0.3809,0.8028,0.923
0.046045104,-0.2585,0.3853,0.8035,0.928
0.047556511,-0.2660,0.3904,0.8040,0.933
0.049902761,-0.2717,0.3963,0.8042,0.937
0.052354688,-0.2758,0.4024,0.8037,0.940
0.055230365,-0.2790,0.4082,0.8020,0.942
0.057393021,-0.2814,0.4131,0.7993,0.943
0.060072604,-0.2839,0.4172,0.7964,0.943
0.063488438,-0.2878,0.4219,0.7925,0.943
0.065132188,-0.2944,0.4277,0.7874,0.943
0.067568438,-0.3027,0.4341,0.7822,0.944
0.069901354,-0.3115,0.4405,0.7776,0.946
0.072726407,-0.3196,0.4466,0.7742,0.949
0.075397032,-0.3261,0.4524,0.7712,0.952
0.077378073,-0.3310,0.4573,0.7678,0.953
0.0799775,-0.3335,0.4610,0.7646,0.953
0.082489011,-0.3340,0.4637,0.7615,0.952
0.085067552,-0.3322,0.4649,0.7576,0.949
0.087543282,-0.3293,0.4654,0.7534,0.945
0.090291146,-0.3247,0.4651,0.7490,0.940
0.092579948,-0.3188,0.4642,0.7439,0.933
0.095056042,-0.3124,0.4622,0.7388,0.926
0.097493698,-0.3056,0.4595,0.7336,0.918
0.100001511,-0.2985,0.4566,0.7280,0.910
0.102394219,-0.2914,0.4544,0.7224,0.902
0.105445417,-0.2848,0.4517,0.7163,0.893
0.107700886,-0.2783,0.4493,0.7102,0.885
0.109915157,-0.2729,0.4471,0.7043,0.878
0.112561354,-0.2687,0.4456,0.6984,0.871
0.115024896,-0.2656,0.4449,0.6931,0.865
0.117447084,-0.2626,0.4446,0.6879,0.860
0.120325,-0.2604,0.4458,0.6833,0.856
0.122655,-0.2595,0.4471,0.6787,0.853
0.125196875,-0.2604,0.4485,0.6728,0.850
0.127440677,-0.2631,0.4490,0.6647,0.844
0.130041146,-0.2668,0.4505,0.6571,0.840
0.13249474,-0.2704,0.4515,0.6549,0.840
0.135189219,-0.2744,0.4524,0.6581,0.844
0.138134636,-0.2783,0.4539,0.6662,0.853
0.139960417,-0.2831,0.4554,0.6774,0.864
0.142362344,-0.2888,0.4563,0.6916,0.877
0.146375834,-0.2949,0.4573,0.7077,0.893
0.147680938,-0.3015,0.4573,0.7251,0.909
0.15022599,-0.3080,0.4561,0.7427,0.924
0.152507709,-0.3144,0.4539,0.7605,0.940
0.155084375,-0.3198,0.4507,0.7781,0.954
