time,gFx,gFy,gFz,TgF
0.003383698,-0.1625,0.4769,0.8052,0.950
0.003677344,-0.1598,0.4808,0.8037,0.950
0.005564635,-0.1573,0.4834,0.8040,0.951
0.007130156,-0.1554,0.4854,0.8050,0.953
0.009651823,-0.1534,0.4864,0.8054,0.953
0.011916198,-0.1512,0.4866,0.8045,0.952
0.015001875,-0.1478,0.4861,0.8020,0.949
0.017016927,-0.1437,0.4849,0.7981,0.945
0.019688437,-0.1383,0.4832,0.7930,0.939
0.022344375,-0.1319,0.4810,0.7874,0.932
0.02453875,-0.1251,0.4791,0.7818,0.925
0.026974323,-0.1187,0.4773,0.7769,0.920
0.029817812,-0.1121,0.4761,0.7729,0.915
0.032173906,-0.1063,0.4751,0.7707,0.912
0.034550364,-0.1016,0.4747,0.7703,0.910
0.036909844,-0.0982,0.4744,0.7720,0.911
0.039812396,-0.0963,0.4747,0.7754,0.914
0.042317031,-0.0953,0.4754,0.7805,0.919
0.044663021,-0.0950,0.4764,0.7874,0.925
0.047112187,-0.0958,0.4771,0.7952,0.932
0.049654427,-0.0970,0.4778,0.8037,0.940
0.052077864,-0.0982,0.4773,0.8125,0.947
0.055460469,-0.0997,0.4766,0.8208,0.954
0.057063854,-0.1016,0.4749,0.8279,0.960
0.060050104,-0.1033,0.4729,0.8338,0.964
0.063747812,-0.1046,0.4700,0.8387,0.967
0.064897656,-0.1058,0.4666,0.8423,0.969
0.067202969,-0.1065,0.4632,0.8453,0.970
0.069612083,-0.1063,0.4593,0.8470,0.969
0.072273958,-0.1082,0.4559,0.8453,0.966
0.074983177,-0.1124,0.4532,0.8397,0.961
0.077132031,-0.1170,0.4512,0.8328,0.954
0.079982448,-0.1212,0.4502,0.8279,0.950
0.082528229,-0.1241,0.4505,0.8250,0.948
0.0847475,-0.1258,0.4515,0.8228,0.947
0.088361979,-0.1263,0.4529,0.8206,0.946
0.08993401,-0.1265,0.4544,0.8150,0.942
0.092180104,-0.1258,0.4568,0.8086,0.937
0.094589114,-0.1221,0.4603,0.8035,0.934
0.097636719,-0.1173,0.4651,0.7988,0.932
0.099946458,-0.1116,0.4705,0.7949,0.930
0.102483854,-0.1060,0.4761,0.7913,0.930
0.10486401,-0.1021,0.4815,0.7879,0.929
0.107357656,-0.1009,0.4866,0.7849,0.929
0.110207708,-0.1024,0.4915,0.7815,0.929
0.112193646,-0.1065,0.4962,0.7781,0.929
0.114654114,-0.1121,0.4998,0.7747,0.929
0.117132552,-0.1190,0.5025,0.7712,0.928
0.120143125,-0.1261,0.5042,0.7683,0.928
0.122407864,-0.1334,0.5057,0.7656,0.927
0.124609531,-0.1397,0.5062,0.7634,0.927
0.127064323,-0.1456,0.5062,0.7622,0.926
0.129615156,-0.1505,0.5057,0.7617,0.927
0.132186198,-0.1544,0.5050,0.7617,0.927
0.134790468,-0.1573,0.5040,0.7622,0.927
0.137812448,-0.1598,0.5023,0.7627,0.927
0.139846354,-0.1620,0.5008,0.7632,0.927
0.14239625,-0.1637,0.4998,0.7641,0.928
0.14457651,-0.1654,0.4979,0.7651,0.928
0.147244062,-0.1671,0.4954,0.7663,0.928
0.150047135,-0.1693,0.4928,0.7681,0.928
0.152160364,-0.1713,0.4901,0.7698,0.928
0.154741562,-0.1737,0.4869,0.7712,0.928
0.15711776,-0.1766,0.4837,0.7724,0.928
0.159884271,-0.1803,0.4810,0.7735,0.928
0.162970208,-0.1839,0.4788,0.7744,0.929
0.164849531,-0.1881,0.4771,0.7759,0.930
0.167120833,-0.1927,0.4759,0.7771,0.931
0.169588593,-0.1971,0.4751,0.7783,0.933
0.172377343,-0.2016,0.4751,0.7800,0.935
0.174747916,-0.2062,0.4751,0.7822,0.938
0.177060677,-0.2103,0.4747,0.7844,0.941
0.180149896,-0.2140,0.4742,0.7864,0.943
0.182416354,-0.2172,0.4734,0.7881,0.945
0.184631562,-0.2199,0.4722,0.7891,0.946
0.1888375,-0.2223,0.4705,0.7893,0.945
0.189850364,-0.2240,0.4688,0.7886,0.944
0.192258802,-0.2248,0.4671,0.7876,0.943
0.194795,-0.2245,0.4651,0.7862,0.941
0.197190781,-0.2235,0.4629,0.7844,0.938
0.199835364,-0.2223,0.4612,0.7822,0.935
0.202331771,-0.2201,0.4598,0.7798,0.932
0.204637396,-0.2177,0.4583,0.7774,0.928
0.207393021,-0.2152,0.4581,0.7744,0.925
0.209961927,-0.2128,0.4588,0.7715,0.922
0.212460208,-0.2099,0.4598,0.7681,0.919
0.214732396,-0.2072,0.4607,0.7649,0.917
0.217082135,-0.2047,0.4617,0.7612,0.914
0.219888646,-0.2023,0.4634,0.7573,0.911
0.222509531,-0.2006,0.4651,0.7532,0.908
0.224820052,-0.1993,0.4673,0.7488,0.905
0.227112135,-0.1986,0.4693,0.7441,0.902
0.229763646,-0.1981,0.4710,0.7392,0.899
0.232273854,-0.1984,0.4727,0.7341,0.895
0.234665156,-0.1993,0.4737,0.7292,0.892
