time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004226,-0.2863,-0.4463,-0.1962,0.565
0.004595,-0.4622,-0.4872,-0.2006,0.701
0.009848,-0.5704,-0.4693,-0.1632,0.756
0.014088,-0.6064,-0.4128,-0.0871,0.739
0.019673,-0.5934,-0.3346,-0.0034,0.681
0.024527,-0.5489,-0.2322,0.0781,0.601
0.029319,-0.4782,-0.1291,0.1356,0.514
0.034092,-0.3777,-0.0410,0.1594,0.412
0.039228,-0.2660,0.0310,0.1394,0.302
0.044019,-0.1708,0.0602,0.0772,0.197
0.049174,-0.1027,0.0582,-0.0351,0.123
0.054321,-0.0343,0.0650,-0.2005,0.214
0.059075,-0.0290,0.1645,-0.3856,0.420
0.064563,-0.1134,0.3682,-0.5824,0.698
0.069525,-0.2708,0.5947,-0.8354,1.061
0.074105,-0.4538,0.8108,-1.0799,1.425
0.078994,-0.5832,0.9888,-1.2716,1.713
0.084674,-0.6475,1.1249,-1.4114,1.917
0.089506,-0.6653,1.2374,-1.4811,2.041
0.093993,-0.6709,1.3160,-1.4869,2.096
0.099673,-0.6521,1.3624,-1.4325,2.082
0.104144,-0.6147,1.3768,-1.3182,2.003
0.109339,-0.5985,1.3223,-1.1398,1.845
0.114420,-0.6218,1.2195,-0.8794,1.627
0.118968,-0.6694,1.0875,-0.5223,1.380
0.124262,-0.6759,0.9775,-0.1143,1.194
0.129512,-0.6325,0.9179,0.2892,1.152
0.134056,-0.5825,0.8903,0.5997,1.221
0.138986,-0.6325,0.9291,0.7400,1.346
0.144359,-0.6489,1.0028,0.7188,1.394
0.149401,-0.6035,1.0922,0.5791,1.376
0.153901,-0.4967,1.1613,0.4018,1.325
0.159316,-0.3615,1.1886,0.1674,1.254
0.164470,-0.2370,1.2017,-0.0548,1.226
0.169334,-0.1220,1.2120,-0.2031,1.235
0.174526,0.0103,1.2182,-0.2584,1.245
0.178917,0.1898,1.2141,-0.2256,1.249
0.184259,0.3845,1.1883,-0.1286,1.256
0.189632,0.5828,1.1529,-0.0124,1.292
0.193935,0.6890,1.0992,0.1067,1.302
0.199224,0.6711,0.9978,0.2147,1.221
0.204638,0.5692,0.8503,0.2907,1.064
0.209307,0.4771,0.7015,0.3253,0.909
0.214074,0.4355,0.5772,0.3257,0.793
0.219322,0.4353,0.4747,0.2964,0.709
0.224289,0.4481,0.3937,0.2446,0.645
0.229640,0.4667,0.3250,0.1843,0.598
0.234456,0.4838,0.2714,0.1271,0.569
0.239180,0.5020,0.2404,0.0797,0.562
0.244132,0.5142,0.2366,0.0635,0.570
