time,gFx,gFy,gFz,TgF
0.001454479,-0.0288,0.2550,0.9513,0.985
0.001795573,-0.0293,0.2565,0.9515,0.986
0.003358854,-0.0276,0.2558,0.9537,0.988
0.00670526,-0.0278,0.2558,0.9530,0.987
0.008499583,-0.0276,0.2560,0.9513,0.986
0.010993594,-0.0306,0.2560,0.9515,0.986
0.014795052,-0.0320,0.2533,0.9498,0.984
0.015909687,-0.0315,0.2531,0.9491,0.983
0.018360208,-0.0359,0.2550,0.9498,0.984
0.020575364,-0.0347,0.2541,0.9496,0.984
0.023270989,-0.0359,0.2528,0.9493,0.983
0.025994062,-0.0352,0.2553,0.9501,0.984
0.028300729,-0.0362,0.2553,0.9520,0.986
0.030762396,-0.0389,0.2541,0.9523,0.986
0.033431667,-0.0393,0.2519,0.9518,0.985
0.035841823,-0.0398,0.2533,0.9518,0.986
0.038540208,-0.0391,0.2531,0.9525,0.986
0.041323646,-0.0374,0.2516,0.9545,0.988
0.043321666,-0.0384,0.2538,0.9537,0.988
0.045665416,-0.0391,0.2550,0.9552,0.989
0.048464219,-0.0391,0.2558,0.9574,0.992
0.050684271,-0.0384,0.2533,0.9574,0.991
0.053368958,-0.0393,0.2521,0.9562,0.990
0.055960469,-0.0393,0.2538,0.9564,0.990
0.058353125,-0.0396,0.2526,0.9569,0.990
0.060711614,-0.0391,0.2533,0.9574,0.991
0.063732916,-0.0389,0.2519,0.9576,0.991
0.06587625,-0.0379,0.2516,0.9589,0.992
0.068250989,-0.0381,0.2519,0.9611,0.994
0.070886719,-0.0374,0.2494,0.9616,0.994
0.073471719,-0.0332,0.2482,0.9645,0.996
0.075741979,-0.0313,0.2497,0.9655,0.998
0.078418489,-0.0288,0.2521,0.9669,1.000
0.080793021,-0.0269,0.2499,0.9667,0.999
0.083312031,-0.0271,0.2519,0.9689,1.001
0.085942344,-0.0254,0.2501,0.9686,1.001
0.088602135,-0.0254,0.2480,0.9686,1.000
0.090911666,-0.0251,0.2489,0.9689,1.001
0.093543385,-0.0266,0.2506,0.9699,1.002
0.095860469,-0.0261,0.2497,0.9674,0.999
0.098516354,-0.0251,0.2489,0.9677,0.999
0.101031771,-0.0222,0.2494,0.9694,1.001
0.103293333,-0.0217,0.2494,0.9669,0.999
0.106292344,-0.0217,0.2506,0.9672,0.999
0.109275364,-0.0193,0.2509,0.9652,0.997
0.110736198,-0.0208,0.2511,0.9642,0.997
0.113397083,-0.0203,0.2516,0.9645,0.997
0.116051198,-0.0173,0.2531,0.9640,0.997
0.118534583,-0.0168,0.2555,0.9623,0.996
