time,X,Y,Z,SVM,,time,X,Y,Z,SVM,,,,,,,,,,,,,,time,X,Y,Z,SVM
0.002529,-0.2804,0.5796,-0.32,0.719,,0.002529,0.2804,0.5796,0.32,0.719,,,,,,,,,,,,,,0.0279,0.0279,0.7555,0.106,0.763
0.006145,-0.3042,0.5938,-0.3088,0.735,,0.006145,0.3042,0.5938,0.3088,0.735,,,,,,,,,,,,,,0.0419,0.0419,0.7231,0.0049,0.724
0.010742,-0.3218,0.6452,-0.2216,0.754,,0.010742,0.3218,0.6452,0.2216,0.754,,,,,,,,,,,,,,0.0939,0.0939,0.681,0.1569,0.705
0.015653,-0.3475,0.6665,-0.0773,0.756,,0.015653,0.3475,0.6665,0.0773,0.756,,,,,,,,,,,,,,0.1284,0.1284,0.6455,0.3482,0.745
0.02049,-0.3694,0.6859,0.0593,0.781,,0.02049,0.3694,0.6859,0.0593,0.781,,,,,,,,,,,,,,0.1441,0.1441,0.6212,0.5566,0.846
0.026259,-0.3704,0.6936,0.1479,0.8,,0.026259,0.3704,0.6936,0.1479,0.8,,,,,,,,,,,,,,0.1402,0.1402,0.6057,0.7654,0.986
0.030713,-0.3598,0.6796,0.1933,0.793,,0.030713,0.3598,0.6796,0.1933,0.793,,,,,,,,,,,,,,0.1313,0.1313,0.5936,0.9389,1.119
0.035818,-0.3326,0.6557,0.2315,0.771,,0.035818,0.3326,0.6557,0.2315,0.771,,,,,,,,,,,,,,0.1289,0.1289,0.58,1.0632,1.218
0.040886,-0.3198,0.6312,0.2603,0.754,,0.040886,0.3198,0.6312,0.2603,0.754,,,,,,,,,,,,,,0.123,0.123,0.5742,1.1268,1.271
0.045821,-0.2735,0.6107,0.2151,0.703,,0.045821,0.2735,0.6107,0.2151,0.703,,,,,,,,,,,,,,0.1217,0.1217,0.5688,1.116,1.259
0.050649,-0.3161,0.7351,0.2419,0.836,,0.050649,0.3161,0.7351,0.2419,0.836,,,,,,,,,,,,,,0.1198,0.1198,0.5564,1.0409,1.186
0.056139,-0.3018,0.7054,0.1828,0.789,,0.056139,0.3018,0.7054,0.1828,0.789,,,,,,,,,,,,,,0.1218,0.1218,0.5321,0.9257,1.075
0.062135,-0.3398,0.6776,0.1047,0.765,,0.062135,0.3398,0.6776,0.1047,0.765,,,,,,,,,,,,,,0.1113,0.1113,0.4983,0.7825,0.934
0.067019,-0.3791,0.6734,-0.0254,0.773,,0.067019,0.3791,0.6734,0.0254,0.773,,,,,,,,,,,,,,0.0723,0.0723,0.4667,0.6258,0.784
0.072547,-0.4372,0.6856,-0.2421,0.848,,0.072547,0.4372,0.6856,0.2421,0.848,,,,,,,,,,,,,,0.0027,0.0027,0.4473,0.4555,0.638
0.075744,-0.4854,0.7066,-0.319,0.915,,0.075744,0.4854,0.7066,0.319,0.915,,,,,,,,,,,,,,0.0858,0.0858,0.4327,0.2645,0.514
0.080778,-0.503,0.6723,-0.3665,0.916,,0.080778,0.503,0.6723,0.3665,0.916,,,,,,,,,,,,,,0.1721,0.1721,0.4325,0.0745,0.471
0.086092,-0.4694,0.6947,-0.366,0.915,,0.086092,0.4694,0.6947,0.366,0.915,,,,,,,,,,,,,,0.2475,0.2475,0.4464,0.1097,0.522
0.090829,-0.4542,0.6927,-0.3819,0.912,,0.090829,0.4542,0.6927,0.3819,0.912,,,,,,,,,,,,,,0.2985,0.2985,0.4644,0.2663,0.613
0.095614,-0.4834,0.7119,-0.3739,0.938,,0.095614,0.4834,0.7119,0.3739,0.938,,,,,,,,,,,,,,0.3307,0.3307,0.4862,0.3835,0.702
0.100918,-0.521,0.719,-0.3683,0.961,,0.100918,0.521,0.719,0.3683,0.961,,,,,,,,,,,,,,0.3448,0.3448,0.5139,0.4614,0.772
0.106095,-0.5341,0.6978,-0.3342,0.94,,0.106095,0.5341,0.6978,0.3342,0.94,,,,,,,,,,,,,,0.3386,0.3386,0.5495,0.4928,0.812
