time,gFx,gFy,gFz,TgF
0.001025625,-0.0950,0.4793,0.7947,0.933
0.001403906,-0.1014,0.4813,0.7932,0.933
0.001633646,-0.1070,0.4834,0.7932,0.935
0.001883385,-0.1104,0.4842,0.7940,0.936
0.004370885,-0.1136,0.4871,0.7988,0.943
0.00666651,-0.1170,0.4879,0.8025,0.946
0.008858541,-0.1187,0.4915,0.8035,0.949
0.011770781,-0.1195,0.4945,0.8057,0.953
0.014118021,-0.1199,0.4942,0.8118,0.958
0.016184114,-0.1182,0.4979,0.8223,0.969
0.019056406,-0.1175,0.5003,0.8326,0.978
0.021508229,-0.1173,0.4996,0.8401,0.984
0.023781979,-0.1175,0.4920,0.8455,0.985
0.026857187,-0.1180,0.4708,0.8487,0.978
0.029521718,-0.1221,0.4295,0.8506,0.961
0.031500625,-0.1197,0.3882,0.8594,0.951
0.033843333,-0.1004,0.3784,0.8765,0.960
0.036410468,-0.0650,0.4050,0.8988,0.988
0.039183593,-0.0310,0.4683,0.9154,1.029
0.041364479,-0.0161,0.5360,0.9144,1.060
0.044699896,-0.0173,0.5858,0.9149,1.087
0.046396823,-0.0254,0.6002,0.9320,1.109
0.048809896,-0.0332,0.5804,0.9511,1.115
0.051608437,-0.0462,0.5365,0.9476,1.090
0.05393625,-0.0620,0.4886,0.9212,1.045
0.056345104,-0.0818,0.4510,0.8905,1.002
0.059131093,-0.1007,0.4280,0.8650,0.970
0.061527343,-0.1129,0.4180,0.8443,0.949
0.063888177,-0.1185,0.4099,0.8218,0.926
0.066297864,-0.1236,0.3897,0.7993,0.898
0.0689575,-0.1363,0.3415,0.7534,0.838
0.071573021,-0.1439,0.3222,0.7229,0.804
0.073997604,-0.1365,0.3484,0.7173,0.809
0.07699125,-0.1190,0.3977,0.7427,0.851
0.079171771,-0.1007,0.4537,0.7805,0.908
0.081480364,-0.0882,0.4969,0.8133,0.957
0.084034375,-0.0811,0.5238,0.8328,0.987
0.08660151,-0.0808,0.5282,0.8323,0.989
0.089117708,-0.0884,0.5128,0.8181,0.970
0.091499114,-0.1053,0.4842,0.8064,0.946
0.09420026,-0.1226,0.4571,0.8006,0.930
0.096430573,-0.1441,0.4358,0.8035,0.925
0.09885526,-0.1612,0.4248,0.8120,0.931
0.101816562,-0.1705,0.4268,0.8267,0.946
0.104205,-0.1742,0.4331,0.8414,0.962
0.106321562,-0.1695,0.4446,0.8577,0.981
0.109400364,-0.1632,0.4566,0.8760,1.001
0.112005833,-0.1527,0.4686,0.8932,1.020
0.11407875,-0.1451,0.4781,0.9088,1.037
0.116310468,-0.1385,0.4817,0.9190,1.047
0.119417135,-0.1353,0.4830,0.9207,1.048
0.121421979,-0.1346,0.4778,0.9173,1.043
0.123850104,-0.1324,0.4727,0.9105,1.034
0.126512031,-0.1341,0.4686,0.9017,1.025
0.129002968,-0.1336,0.4639,0.8912,1.014
0.131526927,-0.1334,0.4644,0.8826,1.006
0.134870104,-0.1317,0.4659,0.8773,1.002
0.136602916,-0.1292,0.4681,0.8736,0.999
0.139000677,-0.1236,0.4698,0.8694,0.996
0.141447395,-0.1204,0.4703,0.8680,0.995
0.144368489,-0.1190,0.4690,0.8602,0.987
0.146455625,-0.1168,0.4681,0.8502,0.977
0.149060677,-0.1192,0.4632,0.8401,0.967
0.151952708,-0.1243,0.4566,0.8301,0.956
0.154027916,-0.1295,0.4512,0.8179,0.943
0.156399375,-0.1358,0.4451,0.8086,0.933
0.160100312,-0.1422,0.4444,0.8030,0.929
0.161617968,-0.1444,0.4490,0.8006,0.929
0.164164323,-0.1444,0.4524,0.8001,0.930
0.166396458,-0.1449,0.4549,0.7993,0.931
0.16896677,-0.1402,0.4593,0.7964,0.930
0.171562291,-0.1375,0.4615,0.7942,0.929
0.173867031,-0.1353,0.4632,0.7908,0.926
0.17663552,-0.1329,0.4659,0.7891,0.926
0.179145989,-0.1314,0.4681,0.7898,0.927
0.181440208,-0.1312,0.4698,0.7952,0.933
0.184885416,-0.1326,0.4727,0.8032,0.941
0.186593802,-0.1368,0.4742,0.8115,0.950
0.188918125,-0.1378,0.4764,0.8181,0.957
0.191602552,-0.1431,0.4729,0.8252,0.962
0.194134843,-0.1473,0.4683,0.8350,0.969
0.196504843,-0.1493,0.4664,0.8428,0.975
0.199028073,-0.1466,0.4610,0.8482,0.976
0.201618645,-0.1390,0.4568,0.8528,0.977
0.20398276,-0.1278,0.4517,0.8570,0.977
0.206396666,-0.1156,0.4471,0.8604,0.976
0.209943802,-0.1007,0.4427,0.8602,0.973
0.211715312,-0.0872,0.4363,0.8611,0.969
0.214041354,-0.0733,0.4310,0.8589,0.964
0.216416198,-0.0589,0.4275,0.8531,0.956
0.219074479,-0.0445,0.4234,0.8470,0.948
0.221477135,-0.0291,0.4172,0.8423,0.940
0.224095989,-0.0200,0.4043,0.8416,0.934
0.22682875,-0.0151,0.3921,0.8458,0.932
0.228984218,-0.0149,0.3779,0.8504,0.931
0.231584323,-0.0120,0.3681,0.8548,0.931
0.234152604,-0.0085,0.3584,0.8597,0.931
0.236527187,-0.0039,0.3532,0.8638,0.933
0.239195,0.0029,0.3496,0.8665,0.934
0.24159427,0.0076,0.3459,0.8677,0.934
0.244115625,0.0105,0.3442,0.8709,0.937
0.246514166,0.0044,0.3398,0.8797,0.943
0.248911927,-0.0083,0.3342,0.8944,0.955
0.252178489,-0.0188,0.3347,0.9093,0.969
0.254404166,-0.0323,0.3398,0.9256,0.987
0.256475052,-0.0474,0.3445,0.9410,1.003
0.260050156,-0.0547,0.3540,0.9498,1.015
0.261940052,-0.0559,0.3657,0.9562,1.025
0.264019218,-0.0645,0.3735,0.9601,1.032
0.266410364,-0.0747,0.3750,0.9606,1.034
0.269362291,-0.0826,0.3733,0.9579,1.031
0.271668385,-0.0919,0.3679,0.9542,1.027
0.27395125,-0.1007,0.3581,0.9496,1.020
0.27663776,-0.1209,0.3405,0.9435,1.010
0.279252656,-0.1622,0.3085,0.9400,1.003
0.281511041,-0.2392,0.2499,0.9364,0.998
0.28464276,-0.3320,0.1820,0.9366,1.010
0.286517968,-0.3652,0.1625,0.9425,1.024
0.288981406,-0.3335,0.1854,0.9552,1.029
0.291660156,-0.2516,0.2340,0.9723,1.031
0.294125312,-0.1500,0.2917,0.9850,1.038
0.296481979,-0.0489,0.3523,0.9850,1.047
0.299115989,0.0408,0.4136,0.9716,1.057
0.301786145,0.1153,0.4671,0.9508,1.066
0.304046562,0.1651,0.5064,0.9229,1.066
0.306447968,0.1930,0.5282,0.8914,1.054
0.30993802,0.2008,0.5387,0.8641,1.038
0.311755833,0.1920,0.5301,0.8375,1.010
0.314240208,0.1713,0.5064,0.8189,0.978
0.316601198,0.1422,0.4729,0.8096,0.948
0.319450937,0.1090,0.4341,0.8030,0.919
0.321563333,0.0760,0.3948,0.8030,0.898
0.323975,0.0411,0.3569,0.8064,0.883
0.326821302,0.0093,0.3259,0.8096,0.873
0.32919901,-0.0232,0.3002,0.8142,0.868
0.331636666,-0.0494,0.2829,0.8216,0.870
0.334599583,-0.0669,0.2765,0.8260,0.874
0.336583229,-0.0833,0.2773,0.8318,0.881
0.339188333,-0.0958,0.2858,0.8355,0.888
0.343584687,-0.1055,0.2983,0.8362,0.894
0.344412239,-0.1138,0.3156,0.8357,0.901
0.346654062,-0.1177,0.3288,0.8309,0.901
0.349044843,-0.1199,0.3398,0.8281,0.903
0.351828437,-0.1239,0.3498,0.8235,0.903
0.3541125,-0.1263,0.3559,0.8164,0.900
0.356508645,-0.1287,0.3591,0.8096,0.895
0.359515364,-0.1287,0.3628,0.8001,0.888
0.3616725,-0.1256,0.3620,0.7896,0.878
0.364081041,-0.1197,0.3589,0.7822,0.869
0.36685276,-0.1136,0.3559,0.7732,0.859
0.369226197,-0.1058,0.3496,0.7646,0.847
0.371797291,-0.0938,0.3371,0.7663,0.842
0.374226718,-0.0779,0.2875,0.8340,0.886
