time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005846,-0.0519,0.2945,0.0346,0.301
0.006188,-0.1304,0.3056,-0.0557,0.337
0.007498,-0.1806,0.3292,-0.1171,0.393
0.012402,-0.2184,0.3627,-0.1357,0.445
0.017448,-0.2541,0.4058,-0.1073,0.491
0.022307,-0.2734,0.4559,-0.0442,0.533
0.027775,-0.2743,0.5008,0.0462,0.573
0.032840,-0.2640,0.5402,0.1592,0.622
0.037396,-0.2561,0.5665,0.2640,0.675
0.042564,-0.2565,0.5822,0.3468,0.725
0.048394,-0.2641,0.5920,0.3913,0.757
0.052469,-0.2755,0.6056,0.3910,0.772
0.057662,-0.2900,0.6184,0.3533,0.769
0.062341,-0.2928,0.6287,0.2880,0.751
0.067791,-0.2840,0.6439,0.2069,0.734
0.072688,-0.2708,0.6526,0.1099,0.715
0.077406,-0.2556,0.6531,-0.0006,0.701
0.082438,-0.2452,0.6457,-0.1318,0.703
0.088483,-0.2347,0.6261,-0.2576,0.717
0.092596,-0.2050,0.6039,-0.3756,0.740
0.097406,-0.1612,0.5792,-0.4837,0.772
0.102717,-0.1107,0.5518,-0.5747,0.804
0.107737,-0.0517,0.5119,-0.6487,0.828
0.112587,0.0013,0.4666,-0.6916,0.834
0.117549,0.0503,0.4226,-0.7059,0.824
0.122478,0.0902,0.3820,-0.6895,0.793
0.127691,0.1114,0.3489,-0.6470,0.743
0.132763,0.1160,0.3254,-0.5905,0.684
0.138125,0.1083,0.2988,-0.5152,0.605
0.142316,0.0833,0.2761,-0.4306,0.518
0.147854,0.0482,0.2476,-0.3416,0.425
0.152455,0.0056,0.2204,-0.2457,0.330
0.157226,-0.0327,0.2083,-0.1476,0.257
0.162801,-0.0762,0.1970,-0.0496,0.217
0.167663,-0.1152,0.1957,0.0412,0.231
0.172478,-0.1595,0.1994,0.1367,0.290
0.177668,-0.2019,0.2033,0.2276,0.366
0.182388,-0.2428,0.2097,0.3067,0.444
0.187689,-0.2853,0.2283,0.3738,0.523
